GB	Caste
GB41774	NA
GB41775	NA
GB41776	NA
GB41777	NA
GB41778	Q
GB41779	NA
GB41780	NA
GB41781	NDEG
GB41782	NA
GB41783	NA
GB41784	NA
GB41785	NA
GB41786	NA
GB41787	NA
GB41788	NA
GB41792	NA
GB41793	NDEG
GB41794	NA
GB41795	NA
GB41796	NA
GB41797	NDEG
GB41798	NDEG
GB41799	NA
GB41800	NA
GB41801	NA
GB41802	NA
GB41803	NA
GB41804	NA
GB41806	Q
GB41807	NA
GB41808	NA
GB41809	NA
GB41810	NA
GB41811	NA
GB41813	NA
GB41815	NA
GB41818	NA
GB41821	NDEG
GB41822	NA
GB41823	NA
GB41824	NA
GB41825	NA
GB41827	NA
GB41829	NA
GB41831	NA
GB41834	NA
GB41835	NA
GB41836	NDEG
GB41837	NA
GB41838	NA
GB41839	NA
GB41840	NA
GB41841	NA
GB41842	NA
GB41843	NDEG
GB41844	NA
GB41845	NA
GB41846	NDEG
GB41847	NA
GB41848	NA
GB41849	NA
GB41850	NA
GB41851	NA
GB41852	NDEG
GB41853	NA
GB41854	NA
GB41855	NA
GB41856	W
GB41857	NDEG
GB41858	NA
GB41859	NA
GB41860	NA
GB41861	NA
GB41862	NA
GB41863	NA
GB41864	NA
GB41865	NA
GB41866	NA
GB41867	NDEG
GB41869	NDEG
GB41871	NA
GB41872	NA
GB41873	NA
GB41874	NDEG
GB41875	NA
GB41876	NA
GB41877	NA
GB41878	NA
GB41881	NA
GB41882	NA
GB41883	NA
GB41884	NA
GB41886	NDEG
GB41888	NA
GB41889	NDEG
GB41890	NA
GB41891	NA
GB41893	NA
GB41894	NA
GB41895	NA
GB41896	NA
GB41897	NA
GB41898	NA
GB41899	NA
GB41900	NA
GB41901	NA
GB41902	NA
GB41904	NA
GB41905	NDEG
GB41906	NA
GB41907	NA
GB41908	NA
GB41909	NA
GB41910	NDEG
GB41911	NA
GB41912	W
GB41913	NA
GB41914	NA
GB41915	NA
GB41916	NDEG
GB41917	NDEG
GB41919	NA
GB41920	NA
GB41921	NA
GB41922	NA
GB41933	NA
GB41942	NA
GB41943	NA
GB41944	NA
GB41945	NA
GB41946	NA
GB41949	NA
GB41950	NA
GB41951	NA
GB41952	NA
GB41953	NA
GB41954	NA
GB41960	NA
GB41962	NA
GB41963	NA
GB41964	NA
GB41965	NA
GB41966	NA
GB41967	NA
GB41968	NA
GB41969	NA
GB41970	NDEG
GB41972	NA
GB41973	NA
GB41974	NA
GB41975	NA
GB41976	NA
GB41977	NA
GB41979	NDEG
GB41980	NA
GB41981	NA
GB41982	NA
GB41983	NA
GB41985	NA
GB41986	NA
GB41987	NA
GB41988	NA
GB41989	NDEG
GB41990	NA
GB41991	NA
GB41992	NA
GB41993	NA
GB41994	NA
GB41996	NA
GB41997	NA
GB41998	NA
GB41999	NA
GB42000	NA
GB42004	NA
GB42010	NA
GB42012	NA
GB42013	NA
GB42014	NA
GB42015	NA
GB42016	NA
GB42017	NDEG
GB42018	NA
GB42020	NA
GB42021	NDEG
GB42022	NA
GB42023	NA
GB42024	NA
GB42025	NDEG
GB42026	NA
GB42027	NA
GB42028	NA
GB42030	NA
GB42031	NA
GB42032	NA
GB42033	NA
GB42035	NA
GB42036	NDEG
GB42037	NA
GB42038	NA
GB42039	NA
GB42041	NA
GB42043	NA
GB42044	NA
GB42045	NA
GB42049	NA
GB42050	NA
GB42051	NA
GB42052	NA
GB42053	NA
GB42054	NDEG
GB42057	NA
GB42058	NA
GB42059	NA
GB42060	NA
GB42062	NA
GB42063	NA
GB42064	NA
GB42065	NA
GB42066	NA
GB42067	NA
GB42070	NA
GB42071	NA
GB42072	NA
GB42075	NA
GB42076	NA
GB42077	NA
GB42078	NA
GB42079	NDEG
GB42081	NA
GB42082	NDEG
GB42083	NA
GB42084	NA
GB42085	NA
GB42086	NA
GB42087	NA
GB42089	NA
GB42090	NA
GB42091	NA
GB42093	NA
GB42096	NA
GB42097	NA
GB42099	NA
GB42106	NA
GB42107	NA
GB42109	NA
GB42110	NA
GB42112	NA
GB42138	NA
GB42139	NA
